,0
61,(DL[i] & V0[i]) | (DL[i] & V1[i]) | (V0[i+1] & V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & DL[i] & V0[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & V1[i-1] & V1[i] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & V1[i] & ~DL[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & DL[i] & V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1])
62,DL[i] | (V0[i-1] & ~DL[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i] & ~V1[i+1] & ~V1[i-1])
63,(V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i+1]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i+1]) | (V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1]) | (V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i] & V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i-1] & ~V1[i+1]) | (V0[i+1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i+1]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1]) | (V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1]) | (DL[i] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i-1]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1])
64,(DL[i-1] & DL[i] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (DL[i] & V0[i-1] & V0[i] & ~DL[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~DL[i+1] & ~DL[i] & ~V1[i+1] & ~V1[i-1])
65,(DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i-1] & V1[i] & ~V0[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i] & ~V0[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i] & ~V0[i-1]) | (DL[i+1] & DL[i-1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & ~DL[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & V1[i] & ~DL[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~DL[i] & ~V1[i-1])
66,DL[i+1] & V0[i+1] & V0[i] & ~V1[i+1] & ~V1[i]
67,(DL[i+1] & V0[i-1] & V0[i] & V1[i-1]) | (DL[i+1] & V0[i-1] & V1[i-1] & V1[i]) | (DL[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & DL[i] & V0[i+1] & V1[i+1] & V1[i] & ~V0[i]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1]) | (DL[i+1] & DL[i] & V0[i+1] & V0[i] & ~DL[i-1] & ~V1[i]) | (DL[i+1] & DL[i] & V0[i+1] & V1[i] & ~DL[i-1] & ~V0[i]) | (DL[i+1] & DL[i] & V0[i] & V1[i+1] & ~DL[i-1] & ~V1[i]) | (DL[i+1] & DL[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~V1[i-1]) | (DL[i] & V0[i+1] & V1[i] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1])
68,(V0[i] & V1[i]) | (DL[i+1] & V0[i-1] & ~V0[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1]) | (DL[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i]) | (DL[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i])
69,(DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V1[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V1[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V1[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i])
70,(V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1]) | (~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1])
71,(V1[i] & ~V0[i]) | (DL[i+1] & V0[i] & V1[i+1] & ~V0[i+1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & DL[i-1] & DL[i] & V1[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
72,(DL[i] & V1[i]) | (DL[i] & ~V0[i]) | (DL[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i-1] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i] & V1[i-1] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1]) | (V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & V0[i-1] & V1[i] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & DL[i-1] & V0[i-1] & V1[i+1] & V1[i] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i-1] & V1[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & DL[i] & V0[i-1] & V1[i+1] & ~V0[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & V1[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i-1])
73,(DL[i+1] & V0[i+1] & V0[i] & V1[i]) | (DL[i+1] & V0[i] & V1[i+1] & V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i-1] & V1[i] & ~V0[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i-1] & V1[i] & ~V0[i-1]) | (V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1])
74,(V0[i] & V1[i]) | (V0[i-1] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1]) | (~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V1[i+1]) | (V0[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i-1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i-1] & V1[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i])
75,(DL[i+1] & V0[i-1] & V1[i-1] & ~V0[i+1]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~V1[i+1]) | (DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i]) | (V0[i-1] & V1[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V1[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i])
76,(V0[i] & V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1]) | (DL[i+1] & V0[i-1] & V1[i-1] & V1[i]) | (DL[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & DL[i] & V0[i] & V1[i+1] & ~DL[i-1]) | (DL[i+1] & DL[i] & V0[i+1] & V0[i] & ~DL[i-1] & ~V1[i-1]) | (DL[i+1] & DL[i] & V1[i+1] & V1[i] & ~DL[i-1] & ~V1[i-1])
77,(V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1]) | (V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V1[i+1]) | (V0[i-1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (V0[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & V1[i] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1])
78,(DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~V0[i+1] & ~V1[i+1]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1]) | (V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~V1[i+1]) | (DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1]) | (DL[i+1] & ~DL[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i-1] & V1[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
79,(V1[i+1] & ~DL[i+1] & ~V0[i+1]) | (DL[i-1] & V0[i-1] & ~DL[i+1] & ~V1[i-1]) | (DL[i-1] & V1[i] & ~DL[i+1] & ~V0[i]) | (DL[i] & V1[i] & ~DL[i+1] & ~V0[i]) | (V0[i-1] & V1[i+1] & ~DL[i+1] & ~V1[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (V0[i-1] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i-1]) | (DL[i-1] & DL[i] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (V0[i-1] & V1[i+1] & V1[i] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i]) | (V0[i-1] & V1[i] & ~V0[i+1] & ~V0[i] & ~V1[i-1]) | (V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i])
80,(DL[i+1] & V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & ~V0[i] & ~V1[i]) | (V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i])
81,(DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~V0[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & DL[i] & V0[i+1] & V0[i] & V1[i+1] & ~DL[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i])
82,(DL[i] & V0[i+1] & V0[i] & V1[i] & ~V1[i+1]) | (DL[i] & V0[i] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i] & V0[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (V0[i+1] & V0[i] & V1[i-1] & ~V0[i-1] & ~V1[i+1]) | (DL[i] & V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V1[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1])
83,(V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (DL[i-1] & DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (DL[i-1] & V0[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V1[i]) | (DL[i] & V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V0[i+1] & V0[i] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i])
84,(DL[i+1] & V0[i+1] & V1[i+1] & ~DL[i]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i+1] & V1[i]) | (V0[i+1] & V1[i+1] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i]) | (V0[i+1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i+1] & ~DL[i] & ~V1[i-1]) | (DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & V0[i] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V1[i+1])
